# JMH version: 1.35
# VM version: JDK 17.0.5, OpenJDK 64-Bit Server VM, 17.0.5+0
# VM invoker: /opt/homebrew/Cellar/openjdk@17/17.0.5/libexec/openjdk.jdk/Contents/Home/bin/java
# VM options: -Xms256M -Xmx256M -Xms1G -Xmx1G -XX:+UseG1GC
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 10 iterations, 10 s each
# Measurement: 3 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: trile.ConcurrencyBenchmark.coroutine
# Parameters: (bufferSize = 128, numberEvent = 100, poolSize = 8)

# Run progress: 0.00% complete, ETA 04:20:00
# Fork: 1 of 5
# Warmup Iteration   1: 305414.249 ops/s
# Warmup Iteration   2: 306872.883 ops/s
# Warmup Iteration   3: 307790.495 ops/s
# Warmup Iteration   4: 302652.755 ops/s
# Warmup Iteration   5: 303462.184 ops/s
# Warmup Iteration   6: 302816.153 ops/s
# Warmup Iteration   7: 304607.851 ops/s
# Warmup Iteration   8: 306433.575 ops/s
# Warmup Iteration   9: 308872.547 ops/s
# Warmup Iteration  10: 309244.136 ops/s
                 ·class.load.norm:                 ≈ 10⁻³ classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   968.514 MB/sec
                 ·gc.alloc.rate.norm:              3566.549 B/op
                 ·gc.churn.G1_Eden_Space:          961.896 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3542.180 B/op
                 ·gc.churn.G1_Survivor_Space:      0.002 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.007 B/op
                 ·gc.count:                        17.000 counts
                 ·gc.time:                         15.000 ms


# Run progress: 7.50% complete, ETA 04:14:04
# Fork: 5 of 5
# Warmup Iteration   1: 313593.566 ops/s
# Warmup Iteration   2: 320177.859 ops/s
# Warmup Iteration   3: 319085.410 ops/s
# Warmup Iteration   4: 317744.244 ops/s
# Warmup Iteration   5: 306598.758 ops/s
# Warmup Iteration   6: 319085.223 ops/s
# Warmup Iteration   7: 313935.615 ops/s
# Warmup Iteration   8: 314988.323 ops/s
# Warmup Iteration   9: 316392.010 ops/s
# Warmup Iteration  10: 318849.742 ops/s
Iteration   1: 318544.097 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   1029.711 MB/sec
                 ·gc.alloc.rate.norm:              3560.126 B/op
                 ·gc.churn.G1_Eden_Space:          991.740 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3428.844 B/op
                 ·gc.churn.G1_Survivor_Space:      0.002 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.005 B/op
                 ·gc.count:                        17.000 counts
                 ·gc.time:                         14.000 ms

Iteration   2: 318864.593 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   1030.572 MB/sec
                 ·gc.alloc.rate.norm:              3560.132 B/op
                 ·gc.churn.G1_Eden_Space:          1049.826 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3626.644 B/op
                 ·gc.churn.G1_Survivor_Space:      0.003 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.011 B/op
                 ·gc.count:                        18.000 counts
                 ·gc.time:                         15.000 ms

Iteration   3: 319014.645 ops/s
                 ·class.load:                      15276.785 classes/sec
                 ·class.load.norm:                 ≈ 10⁻³ classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   1001.687 MB/sec
                 ·gc.alloc.rate.norm:              3566.338 B/op
                 ·gc.churn.G1_Eden_Space:          1018.306 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     3625.506 B/op
                 ·gc.churn.G1_Survivor_Space:      0.003 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 0.011 B/op
                 ·gc.count:                        18.000 counts
                 ·gc.time:                         15.000 ms



Result "trile.ConcurrencyBenchmark.coroutine":
  314898.271 ±(99.9%) 5561.660 ops/s [Average]
  (min, avg, max) = (307782.429, 314898.271, 320115.458), stdev = 5202.380
  CI (99.9%): [309336.611, 320459.931] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·class.load":
  5097.874 ±(99.9%) 7977.915 classes/sec [Average]
  (min, avg, max) = (≈ 0, 5097.874, 15353.404), stdev = 7462.546
  CI (99.9%): [≈ 0, 13075.789] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·class.load.norm":
  ≈ 10⁻⁴ classes/op

Secondary result "trile.ConcurrencyBenchmark.coroutine:·class.unload":
  ≈ 0 classes/sec

Secondary result "trile.ConcurrencyBenchmark.coroutine:·class.unload.norm":
  ≈ 0 classes/op

Secondary result "trile.ConcurrencyBenchmark.coroutine:·gc.alloc.rate":
  1007.430 ±(99.9%) 23.725 MB/sec [Average]
  (min, avg, max) = (968.514, 1007.430, 1034.078), stdev = 22.192
  CI (99.9%): [983.705, 1031.155] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·gc.alloc.rate.norm":
  3562.228 ±(99.9%) 3.282 B/op [Average]
  (min, avg, max) = (3560.126, 3562.228, 3566.549), stdev = 3.070
  CI (99.9%): [3558.946, 3565.510] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·gc.churn.G1_Eden_Space":
  1011.428 ±(99.9%) 34.756 MB/sec [Average]
  (min, avg, max) = (956.707, 1011.428, 1049.826), stdev = 32.511
  CI (99.9%): [976.672, 1046.185] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·gc.churn.G1_Eden_Space.norm":
  3576.376 ±(99.9%) 89.921 B/op [Average]
  (min, avg, max) = (3416.353, 3576.376, 3737.443), stdev = 84.112
  CI (99.9%): [3486.454, 3666.297] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·gc.churn.G1_Survivor_Space":
  0.002 ±(99.9%) 0.001 MB/sec [Average]
  (min, avg, max) = (0.002, 0.002, 0.003), stdev = 0.001
  CI (99.9%): [0.002, 0.003] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·gc.churn.G1_Survivor_Space.norm":
  0.008 ±(99.9%) 0.002 B/op [Average]
  (min, avg, max) = (0.005, 0.008, 0.011), stdev = 0.002
  CI (99.9%): [0.006, 0.010] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·gc.count":
  263.000 ±(99.9%) 0.001 counts [Sum]
  (min, avg, max) = (17.000, 17.533, 18.000), stdev = 0.516
  CI (99.9%): [263.000, 263.000] (assumes normal distribution)

Secondary result "trile.ConcurrencyBenchmark.coroutine:·gc.time":
  246.000 ±(99.9%) 0.001 ms [Sum]
  (min, avg, max) = (14.000, 16.400, 26.000), stdev = 2.874
  CI (99.9%): [246.000, 246.000] (assumes normal distribution)


# JMH version: 1.35
# VM version: JDK 17.0.5, OpenJDK 64-Bit Server VM, 17.0.5+0
# VM invoker: /opt/homebrew/Cellar/openjdk@17/17.0.5/libexec/openjdk.jdk/Contents/Home/bin/java
# VM options: -Xms256M -Xmx256M -Xms1G -Xmx1G -XX:+UseG1GC
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 10 iterations, 10 s each
# Measurement: 3 iterations, 10 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: trile.ConcurrencyBenchmark.coroutine
# Parameters: (bufferSize = 128, numberEvent = 1000000, poolSize = 8)

# Run progress: 8.33% complete, ETA 04:11:46
# Fork: 1 of 5
# Warmup Iteration   1: 35.853 ops/s
# Warmup Iteration   2: 36.800 ops/s
# Warmup Iteration   3: 36.773 ops/s
# Warmup Iteration   4: 36.832 ops/s
# Warmup Iteration   5: 36.116 ops/s
# Warmup Iteration   6: 36.915 ops/s
# Warmup Iteration   7: 36.837 ops/s
# Warmup Iteration   8: 36.972 ops/s
# Warmup Iteration   9: 37.084 ops/s
# Warmup Iteration  10: 36.804 ops/s
Iteration   1: 36.895 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   846.628 MB/sec
                 ·gc.alloc.rate.norm:              25294836.822 B/op
                 ·gc.churn.G1_Eden_Space:          872.189 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     26058530.595 B/op
                 ·gc.churn.G1_Survivor_Space:      0.002 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 45.384 B/op
                 ·gc.count:                        15.000 counts
                 ·gc.time:                         13.000 ms

Iteration   2: 36.834 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   845.326 MB/sec
                 ·gc.alloc.rate.norm:              25294773.919 B/op
                 ·gc.churn.G1_Eden_Space:          814.996 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     24387206.591 B/op
                 ·gc.churn.G1_Survivor_Space:      0.001 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 27.967 B/op
                 ·gc.count:                        14.000 counts
                 ·gc.time:                         12.000 ms

Iteration   3: 36.889 ops/s
                 ·class.load:                      15402.329 classes/sec
                 ·class.load.norm:                 3.995 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   818.138 MB/sec
                 ·gc.alloc.rate.norm:              25348318.443 B/op
                 ·gc.churn.G1_Eden_Space:          841.061 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     26058530.595 B/op
                 ·gc.churn.G1_Survivor_Space:      0.001 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 39.049 B/op
                 ·gc.count:                        15.000 counts
                 ·gc.time:                         13.000 ms


# Run progress: 9.17% complete, ETA 04:09:31
# Fork: 2 of 5
# Warmup Iteration   1: 35.849 ops/s
# Warmup Iteration   2: 36.962 ops/s
# Warmup Iteration   3: 32.511 ops/s
# Warmup Iteration   4: 32.442 ops/s
# Warmup Iteration   5: 32.428 ops/s
# Warmup Iteration   6: 32.479 ops/s
# Warmup Iteration   7: 32.427 ops/s
# Warmup Iteration   8: 32.459 ops/s
# Warmup Iteration   9: 32.435 ops/s
# Warmup Iteration  10: 32.442 ops/s
Iteration   1: 32.383 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   743.201 MB/sec
                 ·gc.alloc.rate.norm:              25294749.686 B/op
                 ·gc.churn.G1_Eden_Space:          697.324 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     23733307.865 B/op
                 ·gc.churn.G1_Survivor_Space:      0.001 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 31.754 B/op
                 ·gc.count:                        12.000 counts
                 ·gc.time:                         10.000 ms

Iteration   2: 32.460 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   745.063 MB/sec
                 ·gc.alloc.rate.norm:              25294824.025 B/op
                 ·gc.churn.G1_Eden_Space:          757.324 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     25711083.520 B/op
                 ·gc.churn.G1_Survivor_Space:      0.001 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 38.105 B/op
                 ·gc.count:                        13.000 counts
                 ·gc.time:                         13.000 ms

Iteration   3: 32.466 ops/s
                 ·class.load:                      15056.375 classes/sec
                 ·class.load.norm:                 4.548 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   734.588 MB/sec
                 ·gc.alloc.rate.norm:              25355712.394 B/op
                 ·gc.churn.G1_Eden_Space:          744.883 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     25711083.520 B/op
                 ·gc.churn.G1_Survivor_Space:      0.002 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 63.508 B/op
                 ·gc.count:                        13.000 counts
                 ·gc.time:                         11.000 ms


# Run progress: 10.00% complete, ETA 04:07:14
# Fork: 3 of 5
# Warmup Iteration   1: 35.859 ops/s
# Warmup Iteration   2: 35.388 ops/s
# Warmup Iteration   3: 37.013 ops/s
# Warmup Iteration   4: 36.994 ops/s
# Warmup Iteration   5: 36.988 ops/s
# Warmup Iteration   6: 36.971 ops/s
# Warmup Iteration   7: 37.023 ops/s
# Warmup Iteration   8: 36.985 ops/s
# Warmup Iteration   9: 37.001 ops/s
# Warmup Iteration  10: 36.973 ops/s
Iteration   1: 37.021 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   849.563 MB/sec
                 ·gc.alloc.rate.norm:              25294834.178 B/op
                 ·gc.churn.G1_Eden_Space:          872.853 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     25988291.968 B/op
                 ·gc.churn.G1_Survivor_Space:      0.001 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 34.135 B/op
                 ·gc.count:                        15.000 counts
                 ·gc.time:                         13.000 ms

Iteration   2: 36.942 ops/s
                 ·class.load:                      ≈ 0 classes/sec
                 ·class.load.norm:                 ≈ 0 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   847.907 MB/sec
                 ·gc.alloc.rate.norm:              25294834.156 B/op
                 ·gc.churn.G1_Eden_Space:          871.152 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     25988291.968 B/op
                 ·gc.churn.G1_Survivor_Space:      0.002 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 67.515 B/op
                 ·gc.count:                        15.000 counts
                 ·gc.time:                         13.000 ms

Iteration   3: 36.869 ops/s
                 ·class.load:                      15364.683 classes/sec
                 ·class.load.norm:                 3.995 classes/op
                 ·class.unload:                    ≈ 0 classes/sec
                 ·class.unload.norm:               ≈ 0 classes/op
                 ·gc.alloc.rate:                   820.036 MB/sec
                 ·gc.alloc.rate.norm:              25348251.676 B/op
                 ·gc.churn.G1_Eden_Space:          786.814 MB/sec
                 ·gc.churn.G1_Eden_Space.norm:     24321295.222 B/op
                 ·gc.churn.G1_Survivor_Space:      0.001 MB/sec
                 ·gc.churn.G1_Survivor_Space.norm: 27.892 B/op
                 ·gc.count:                        14.000 counts
                 ·gc.time:                         13.000 ms
